順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
73,2672.161,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0038-01,キュウコン,アローラのすがた,こおり,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,カゴのみ,0695-00,エレザード,,でんき,ノーマル,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
75,2670.851,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ
76,2670.631,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト
77,2670.437,0450-00,カバルドン,,じめん,,一般,,たべのこし,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト
78,2670.296,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
79,2670.052,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0584-00,バイバニラ,,こおり,,一般,,とけないこおり
80,2670.025,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,ビアーのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ
82,2668.814,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0730-00,アシレーヌ,,みず,フェアリー,一般,,カゴのみ,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ
83,2667.899,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,しんぴのしずく
84,2667.448,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0450-00,カバルドン,,じめん,,一般,,たべのこし,0983-00,ドドゲザン,,あく,はがね,一般,,シュカのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,0740-00,ケケンカニ,,かくとう,こおり,一般,,きあいのタスキ
85,2667.088,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,たべのこし,0823-00,アーマーガア,,ひこう,はがね,一般,,持ち物なし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ
86,2666.822,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ
87,2666.335,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,のろいのおふだ,0009-00,カメックス,,みず,,一般,,カメックスナイト,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0395-00,エンペルト,,みず,はがね,一般,,シュカのみ
90,2666.040,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,持ち物なし
91,2664.884,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,カゴのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト
92,2664.362,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,たべのこし,0132-00,メタモン,,ノーマル,,一般,,こだわりスカーフ,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト
94,2663.326,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,カゴのみ
95,2662.458,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ピントレンズ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ
96,2661.644,0908-00,マスカーニャ,,くさ,あく,一般,,じしゃく,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,シュカのみ,0212-00,ハッサム,,むし,はがね,一般,,ラムのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト
97,2661.054,0658-00,ゲッコウガ,,みず,あく,一般,,ゲッコウガナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0939-00,ハラバリー,,でんき,,一般,,たべのこし,0547-00,エルフーン,,くさ,フェアリー,一般,,きあいのタスキ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト
98,2660.752,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト,0553-00,ワルビアル,,じめん,あく,一般,,こだわりスカーフ,0212-00,ハッサム,,むし,はがね,一般,,持ち物なし,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0964-00,イルカマン,ナイーブフォルム,みず,,一般,,しんぴのしずく
99,2660.402,0197-00,ブラッキー,,あく,,一般,,たべのこし,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,ハバンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,きあいのタスキ
100,2659.874,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,たべのこし
102,2658.354,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0197-00,ブラッキー,,あく,,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ
106,2654.281,0184-00,マリルリ,,みず,フェアリー,一般,,オボンのみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2654.098,0143-00,カビゴン,,ノーマル,,一般,,ヨプのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,カシブのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ
109,2649.920,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0700-00,ニンフィア,,フェアリー,,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ
110,2649.319,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,ラムのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0635-00,サザンドラ,,あく,ドラゴン,一般,,たべのこし,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト
111,2647.344,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト
112,2646.335,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト
113,2645.598,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,カゴのみ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0395-00,エンペルト,,みず,はがね,一般,,メンタルハーブ
115,2644.808,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0956-00,クエスパトラ,,エスパー,,一般,,カシブのみ,0036-00,ピクシー,,フェアリー,,一般,,リリバのみ,0143-00,カビゴン,,ノーマル,,一般,,たべのこし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,オボンのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,きあいのタスキ
118,2642.365,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,0903-00,オオニューラ,,かくとう,どく,一般,,こだわりスカーフ
121,2639.236,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0939-00,ハラバリー,,でんき,,一般,,たべのこし
122,2639.185,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
